Macrotrends Data Download

Heating Oil Prices - 30 Year Historical Chart

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1986-06-01,0.91,0.398
1986-07-01,0.74,0.321
1986-08-01,0.98,0.426
1986-09-01,0.92,0.403
1986-10-01,0.91,0.398
1986-11-01,0.95,0.418
1986-12-01,1.10,0.482
1987-01-01,1.18,0.521
1987-02-01,0.97,0.430
1987-03-01,1.06,0.471
1987-04-01,1.10,0.494
1987-05-01,1.15,0.519
1987-06-01,1.19,0.539
1987-07-01,1.20,0.544
1987-08-01,1.14,0.519
1987-09-01,1.18,0.540
1987-10-01,1.25,0.573
1987-11-01,1.23,0.564
1987-12-01,1.12,0.513
1988-01-01,1.04,0.480
1988-02-01,1.03,0.474
1988-03-01,1.04,0.483
1988-04-01,1.16,0.540
1988-05-01,1.07,0.499
1988-06-01,0.87,0.409
1988-07-01,0.94,0.443
1988-08-01,0.90,0.428
1988-09-01,0.79,0.376
1988-10-01,0.89,0.427
1988-11-01,1.01,0.484
1988-12-01,1.12,0.535
1989-01-01,1.09,0.524
1989-02-01,1.09,0.529
1989-03-01,1.17,0.569
1989-04-01,1.09,0.531
1989-05-01,1.01,0.498
1989-06-01,1.00,0.492
1989-07-01,0.98,0.483
1989-08-01,1.07,0.532
1989-09-01,1.18,0.588
1989-10-01,1.17,0.585
1989-11-01,1.24,0.619
1989-12-01,2.00,1.004
1990-01-01,1.16,0.587
1990-02-01,1.12,0.572
1990-03-01,1.15,0.589
1990-04-01,1.16,0.593
1990-05-01,0.97,0.499
1990-06-01,0.94,0.483
1990-07-01,1.08,0.561
1990-08-01,1.43,0.747
1990-09-01,1.96,1.035
1990-10-01,1.66,0.883
1990-11-01,1.62,0.860
1990-12-01,1.52,0.809
1991-01-01,1.34,0.718
1991-02-01,1.27,0.679
1991-03-01,1.07,0.574
1991-04-01,1.00,0.538
1991-05-01,1.05,0.568
1991-06-01,1.02,0.549
1991-07-01,1.11,0.601
1991-08-01,1.18,0.640
1991-09-01,1.16,0.632
1991-10-01,1.23,0.674
1991-11-01,1.11,0.606
1991-12-01,0.86,0.469
1992-01-01,0.96,0.525
1992-02-01,0.92,0.509
1992-03-01,0.97,0.539
1992-04-01,1.04,0.578
1992-05-01,1.09,0.604
1992-06-01,1.08,0.601
1992-07-01,1.08,0.604
1992-08-01,1.08,0.602
1992-09-01,1.12,0.628
1992-10-01,1.03,0.582
1992-11-01,0.98,0.554
1992-12-01,0.99,0.560
1993-01-01,0.98,0.557
1993-02-01,1.01,0.576
1993-03-01,0.98,0.558
1993-04-01,0.97,0.553
1993-05-01,0.95,0.546
1993-06-01,0.91,0.522
1993-07-01,0.86,0.494
1993-08-01,0.91,0.525
1993-09-01,0.97,0.560
1993-10-01,0.88,0.509
1993-11-01,0.80,0.461
1993-12-01,0.76,0.443
1994-01-01,0.93,0.542
1994-02-01,0.88,0.516
1994-03-01,0.83,0.484
1994-04-01,0.80,0.471
1994-05-01,0.85,0.496
1994-06-01,0.86,0.506
1994-07-01,0.90,0.532
1994-08-01,0.83,0.493
1994-09-01,0.84,0.496
1994-10-01,0.82,0.487
1994-11-01,0.82,0.486
1994-12-01,0.86,0.514
1995-01-01,0.78,0.466
1995-02-01,0.78,0.466
1995-03-01,0.78,0.468
1995-04-01,0.84,0.509
1995-05-01,0.79,0.479
1995-06-01,0.77,0.464
1995-07-01,0.79,0.480
1995-08-01,0.82,0.497
1995-09-01,0.80,0.486
1995-10-01,0.82,0.502
1995-11-01,0.85,0.517
1995-12-01,0.96,0.584
1996-01-01,0.87,0.536
1996-02-01,1.04,0.641
1996-03-01,1.04,0.644
1996-04-01,1.03,0.641
1996-05-01,0.81,0.506
1996-06-01,0.86,0.536
1996-07-01,0.91,0.568
1996-08-01,1.00,0.626
1996-09-01,1.14,0.714
1996-10-01,1.05,0.662
1996-11-01,1.14,0.718
1996-12-01,1.15,0.727
1997-01-01,1.09,0.687
1997-02-01,0.87,0.549
1997-03-01,0.89,0.563
1997-04-01,0.91,0.582
1997-05-01,0.88,0.562
1997-06-01,0.84,0.533
1997-07-01,0.87,0.553
1997-08-01,0.81,0.518
1997-09-01,0.90,0.579
1997-10-01,0.89,0.570
1997-11-01,0.82,0.527
1997-12-01,0.76,0.490
1998-01-01,0.75,0.479
1998-02-01,0.67,0.433
1998-03-01,0.67,0.433
1998-04-01,0.66,0.424
1998-05-01,0.60,0.388
1998-06-01,0.59,0.382
1998-07-01,0.53,0.342
1998-08-01,0.54,0.351
1998-09-01,0.67,0.433
1998-10-01,0.61,0.395
1998-11-01,0.50,0.323
1998-12-01,0.50,0.325
1999-01-01,0.50,0.329
1999-02-01,0.49,0.323
1999-03-01,0.67,0.442
1999-04-01,0.69,0.455
1999-05-01,0.60,0.396
1999-06-01,0.72,0.478
1999-07-01,0.78,0.514
1999-08-01,0.87,0.576
1999-09-01,0.93,0.620
1999-10-01,0.86,0.572
1999-11-01,0.96,0.640
1999-12-01,1.04,0.698
2000-01-01,1.22,0.820
2000-02-01,1.22,0.820
2000-03-01,1.15,0.785
2000-04-01,1.08,0.738
2000-05-01,1.08,0.739
2000-06-01,1.21,0.830
2000-07-01,1.13,0.778
2000-08-01,1.43,0.983
2000-09-01,1.34,0.928
2000-10-01,1.36,0.942
2000-11-01,1.52,1.049
2000-12-01,1.35,0.931
2001-01-01,1.13,0.785
2001-02-01,1.05,0.732
2001-03-01,1.07,0.750
2001-04-01,1.06,0.745
2001-05-01,1.10,0.777
2001-06-01,1.01,0.713
2001-07-01,0.97,0.687
2001-08-01,1.08,0.763
2001-09-01,0.93,0.661
2001-10-01,0.85,0.600
2001-11-01,0.75,0.531
2001-12-01,0.78,0.548
2002-01-01,0.74,0.520
2002-02-01,0.80,0.568
2002-03-01,0.94,0.671
2002-04-01,0.96,0.687
2002-05-01,0.88,0.630
2002-06-01,0.94,0.675
2002-07-01,0.94,0.670
2002-08-01,1.04,0.749
2002-09-01,1.10,0.792
2002-10-01,1.03,0.745
2002-11-01,1.05,0.755
2002-12-01,1.21,0.872
2003-01-01,1.33,0.958
2003-02-01,1.68,1.223
2003-03-01,1.09,0.796
2003-04-01,1.12,0.816
2003-05-01,1.03,0.750
2003-06-01,1.07,0.781
2003-07-01,1.08,0.791
2003-08-01,1.11,0.813
2003-09-01,1.06,0.779
2003-10-01,1.08,0.797
2003-11-01,1.13,0.827
2003-12-01,1.21,0.888
2004-01-01,1.27,0.937
2004-02-01,1.30,0.963
2004-03-01,1.20,0.893
2004-04-01,1.28,0.953
2004-05-01,1.33,0.999
2004-06-01,1.33,1.004
2004-07-01,1.54,1.157
2004-08-01,1.49,1.124
2004-09-01,1.85,1.393
2004-10-01,1.91,1.446
2004-11-01,1.82,1.382
2004-12-01,1.62,1.229
2005-01-01,1.76,1.331
2005-02-01,1.96,1.495
2005-03-01,2.16,1.658
2005-04-01,1.83,1.414
2005-05-01,1.88,1.453
2005-06-01,2.08,1.611
2005-07-01,2.10,1.630
2005-08-01,2.62,2.049
2005-09-01,2.60,2.051
2005-10-01,2.22,1.755
2005-11-01,2.05,1.610
2005-12-01,2.20,1.720
2006-01-01,2.24,1.762
2006-02-01,2.17,1.712
2006-03-01,2.34,1.855
2006-04-01,2.49,1.995
2006-05-01,2.44,1.962
2006-06-01,2.55,2.057
2006-07-01,2.60,2.103
2006-08-01,2.34,1.900
2006-09-01,2.10,1.690
2006-10-01,2.04,1.639
2006-11-01,2.23,1.785
2006-12-01,2.00,1.601
2007-01-01,2.09,1.681
2007-02-01,2.20,1.781
2007-03-01,2.29,1.871
2007-04-01,2.31,1.897
2007-05-01,2.29,1.892
2007-06-01,2.44,2.023
2007-07-01,2.53,2.095
2007-08-01,2.46,2.037
2007-09-01,2.65,2.199
2007-10-01,3.02,2.506
2007-11-01,2.99,2.499
2007-12-01,3.17,2.648
2008-01-01,3.01,2.523
2008-02-01,3.33,2.806
2008-03-01,3.63,3.078
2008-04-01,3.74,3.195
2008-05-01,4.23,3.647
2008-06-01,4.47,3.890
2008-07-01,3.93,3.435
2008-08-01,3.62,3.150
2008-09-01,3.28,2.851
2008-10-01,2.42,2.085
2008-11-01,2.01,1.696
2008-12-01,1.57,1.314
2009-01-01,1.71,1.437
2009-02-01,1.51,1.271
2009-03-01,1.58,1.336
2009-04-01,1.53,1.299
2009-05-01,1.92,1.636
2009-06-01,2.00,1.715
2009-07-01,2.09,1.793
2009-08-01,2.07,1.773
2009-09-01,2.10,1.805
2009-10-01,2.29,1.965
2009-11-01,2.31,1.984
2009-12-01,2.46,2.109
2010-01-01,2.20,1.894
2010-02-01,2.35,2.020
2010-03-01,2.50,2.162
2010-04-01,2.61,2.265
2010-05-01,2.31,2.006
2010-06-01,2.28,1.975
2010-07-01,2.35,2.038
2010-08-01,2.26,1.966
2010-09-01,2.58,2.239
2010-10-01,2.54,2.211
2010-11-01,2.63,2.288
2010-12-01,2.92,2.546
2011-01-01,3.11,2.723
2011-02-01,3.33,2.928
2011-03-01,3.49,3.098
2011-04-01,3.65,3.263
2011-05-01,3.39,3.049
2011-06-01,3.27,2.936
2011-07-01,3.44,3.086
2011-08-01,3.41,3.068
2011-09-01,3.08,2.781
2011-10-01,3.38,3.040
2011-11-01,3.35,3.012
2011-12-01,3.25,2.917
2012-01-01,3.40,3.059
2012-02-01,3.55,3.214
2012-03-01,3.48,3.172
2012-04-01,3.47,3.172
2012-05-01,2.97,2.708
2012-06-01,2.98,2.723
2012-07-01,3.10,2.819
2012-08-01,3.47,3.174
2012-09-01,3.42,3.144
2012-10-01,3.33,3.063
2012-11-01,3.32,3.036
2012-12-01,3.34,3.044
2013-01-01,3.43,3.141
2013-02-01,3.23,2.981
2013-03-01,3.15,2.916
2013-04-01,2.84,2.623
2013-05-01,2.86,2.652
2013-06-01,2.93,2.720
2013-07-01,3.13,2.903
2013-08-01,3.26,3.026
2013-09-01,3.11,2.897
2013-10-01,3.16,2.938
2013-11-01,3.26,3.021
2013-12-01,3.33,3.082
2014-01-01,3.50,3.255
2014-02-01,3.25,3.036
2014-03-01,3.08,2.894
2014-04-01,3.03,2.853
2014-05-01,2.98,2.814
2014-06-01,3.02,2.856
2014-07-01,2.93,2.777
2014-08-01,2.93,2.772
2014-09-01,2.70,2.555
2014-10-01,2.51,2.369
2014-11-01,2.14,2.006
2014-12-01,1.85,1.724
2015-01-01,1.77,1.646
2015-02-01,2.06,1.923
2015-03-01,1.68,1.573
2015-04-01,1.96,1.842
2015-05-01,1.93,1.822
2015-06-01,1.85,1.757
2015-07-01,1.52,1.446
2015-08-01,1.61,1.525
2015-09-01,1.51,1.427
2015-10-01,1.49,1.413
2015-11-01,1.30,1.222
2015-12-01,1.05,0.989
2016-01-01,1.05,0.990
2016-02-01,1.08,1.020
2016-03-01,1.18,1.112
2016-04-01,1.40,1.328
2016-05-01,1.48,1.418
2016-06-01,1.45,1.386
2016-07-01,1.23,1.177
2016-08-01,1.39,1.332
2016-09-01,1.52,1.460
2016-10-01,1.47,1.411
2016-11-01,1.53,1.464
2016-12-01,1.68,1.612
2017-01-01,1.57,1.514
2017-02-01,1.66,1.603
2017-03-01,1.57,1.525
2017-04-01,1.48,1.434
2017-05-01,1.48,1.435
2017-06-01,1.42,1.384
2017-07-01,1.60,1.556
2017-08-01,1.69,1.649
2017-09-01,1.83,1.798
2017-10-01,1.82,1.789
2017-11-01,1.84,1.802
2017-12-01,2.03,1.993
2018-01-01,2.03,2.004
2018-02-01,1.83,1.815
2018-03-01,1.99,1.970
2018-04-01,2.14,2.128
2018-05-01,2.18,2.177
2018-06-01,2.12,2.122
